"","pro","eff","dose"
"133",0.0948342490873307,0.0202020202020202,1
"134",0.109903093617499,0.0202020202020202,1
"135",0.106770386747309,0.0101010101010101,1
"136",0.0950564109314268,0.0101010101010101,1
"137",0.142431774449592,0.333333333333333,1
"138",0.0992092104880504,0.0303030303030303,1
"139",0.146924558863163,0.171717171717172,1
"140",0.0888648099272361,0.0404040404040404,1
"141",0.109911579601485,0.0303030303030303,1
"142",0.0823204742384961,0.0202020202020202,1
"143",0.0977559432331032,0.0101010101010101,1
"144",0.103284097216795,0.0101010101010101,1
"145",0.107289811292131,0.0808080808080808,1
"146",0.120864174014702,0.0101010101010101,1
"147",0.173312685759764,0.0101010101010101,1
"148",0.126203324104924,0.0606060606060606,1
"149",0.0975716879208725,0.0606060606060606,1
"150",0.119868156664335,0.0101010101010101,1
"151",0.106375285001565,0.0101010101010101,1
"152",0.128637649411512,0.0101010101010101,1
"153",0.130873544459481,0.0101010101010101,1
"154",0.164538601491764,0.101010101010101,1
"155",0.0992693100662221,0.121212121212121,1
"156",0.117615479861545,0.0101010101010101,1
"157",0.143889986751709,0.0101010101010101,1
"158",0.119914165341751,0.0707070707070707,1
"159",0.101048447644646,0.171717171717172,1
"160",0.145902087602589,0.0101010101010101,1
"161",0.122922723406305,0.0505050505050505,1
"162",0.155893100629816,0.0101010101010101,1
"163",0.13911295812789,0.0202020202020202,1
"164",0.102942828288302,0.0606060606060606,1
"165",0.104750673993263,0.141414141414141,1
"166",0.0843442556738007,0.151515151515152,1
"167",0.10660904276734,0.0202020202020202,1
"168",0.13512714473318,0.0505050505050505,1
"169",0.123484661177807,0.0303030303030303,1
"170",0.112636271846684,0.0101010101010101,1
"171",0.0858636951677141,0.0606060606060606,1
"172",0.0775059590820384,0.0101010101010101,1
"173",0.120024234938187,0.0505050505050505,1
"174",0.0963226014385927,0.0606060606060606,1
"175",0.123949867973012,0.232323232323232,1
"176",0.116160994790655,0.373737373737374,1
"177",0.137034497009717,0.0202020202020202,1
"178",0.128048260041291,0.0404040404040404,1
"179",0.114239307061793,0.0808080808080808,1
"180",0.131057157459206,0.0101010101010101,1
